Date,Open
2000-01-03,370.0
2000-01-04,380.0
2000-01-05,371.5
2000-01-06,384.9
2000-01-07,376.0
2000-01-10,415.0
2000-01-11,415.0
2000-01-12,420.0
2000-01-13,423.0
2000-01-14,410.0
2000-01-17,420.0
2000-01-18,410.0
2000-01-19,425.0
2000-01-20,425.0
2000-01-21,422.0
2000-01-24,434.0
2000-01-25,470.0
2000-01-27,530.0
2000-01-28,470.0
2000-01-31,499.0
2000-02-01,462.0
2000-02-02,475.0
2000-02-03,462.0
2000-02-04,460.0
2000-02-07,460.0
2000-02-08,440.0
2000-02-09,469.0
2000-02-10,460.0
2000-02-11,437.0
2000-02-14,440.0
2000-02-15,445.0
2000-02-16,427.0
2000-02-17,375.0
2000-02-18,409.0
2000-02-21,402.0
2000-02-22,401.0
2000-02-23,396.0
2000-02-24,400.0
2000-02-25,392.0
2000-02-28,375.0
2000-02-29,395.0
2000-03-01,397.0
2000-03-02,400.0
2000-03-03,370.0
2000-03-06,400.0
2000-03-07,385.3
2000-03-08,388.0
2000-03-09,409.9
2000-03-10,419.0
2000-03-13,400.0
2000-03-14,394.05
2000-03-15,400.0
2000-03-16,415.0
2000-03-21,407.0
2000-03-22,444.0
2000-03-23,410.0
2000-03-24,415.0
2000-03-27,423.0
2000-03-28,413.0
2000-03-29,415.25
2000-03-30,415.0
2000-03-31,426.0
2000-04-03,440.0
2000-04-04,401.0
2000-04-05,410.0
2000-04-06,412.0
2000-04-07,413.0
2000-04-10,415.0
2000-04-11,411.0
2000-04-12,427.8
2000-04-13,410.0
2000-04-17,405.0
2000-04-18,415.0
2000-04-19,418.0
2000-04-20,406.3
2000-04-24,421.0
2000-04-25,402.0
2000-04-26,405.0
2000-04-27,410.0
2000-04-28,405.5
2000-05-02,405.0
2000-05-03,388.0
2000-05-04,399.0
2000-05-05,397.0
2000-05-08,400.0
2000-05-09,392.05
2000-05-10,398.0
2000-05-11,389.0
2000-05-12,389.0
2000-05-15,378.0
2000-05-16,370.0
2000-05-17,385.0
2000-05-18,370.0
2000-05-19,371.0
2000-05-22,357.0
2000-05-23,360.0
2000-05-24,414.7
2000-05-25,428.0
2000-05-26,419.0
2000-05-29,434.0
2000-05-30,426.0
2000-05-31,420.0
2000-06-01,427.9
2000-06-02,425.0
2000-06-05,423.9
2000-06-06,415.0
2000-06-07,424.9
2000-06-08,424.9
2000-06-09,416.5
2000-06-12,415.0
2000-06-13,409.5
2000-06-14,414.0
2000-06-15,408.0
2000-06-16,407.0
2000-06-19,405.05
2000-06-20,405.0
2000-06-21,410.0
2000-06-22,405.0
2000-06-23,403.0
2000-06-26,404.75
2000-06-27,401.05
2000-06-28,399.1
2000-06-29,407.9
2000-06-30,402.0
2000-07-03,406.0
